Source_Name,Sub_Class,Predicted_Macro_Class,Confidence,Prob_AGN,Prob_Binary,Prob_Galactic,Prob_Galaxy,Prob_Pulsar,Final_Class
4FGL J0607.9-1904,unass,AGN,0.91,0.91,0.005,0.08,0.0,0.005,predicted_bll
4FGL J0514.1-2437,unass,AGN,0.91,0.91,0.015,0.03,0.015,0.03,predicted_bcu
4FGL J2328.0-2557,unass,AGN,0.91,0.91,0.01,0.035,0.005,0.04,predicted_bcu
4FGL J1745.8-3028e,unk,Galactic,0.91,0.08,0.0,0.91,0.01,0.0,predicted_galactic
4FGL J0953.6-1509,unass,Pulsar,0.91,0.005,0.06,0.025,0.0,0.91,predicted_msp
4FGL J1536.8-4327,unass,AGN,0.91,0.91,0.03,0.015,0.0,0.045,predicted_fsrq
4FGL J1651.7-7241,unass,AGN,0.91,0.91,0.0,0.08,0.005,0.005,predicted_bll
4FGL J1538.9+0425,unass,AGN,0.91,0.91,0.02,0.05,0.005,0.015,predicted_bcu
4FGL J1411.6+2913,unass,AGN,0.91,0.91,0.015,0.04,0.005,0.03,predicted_bcu
4FGL J2203.3-5009,unass,AGN,0.91,0.91,0.025,0.04,0.0,0.025,predicted_fsrq
4FGL J0026.1-0732,unass,AGN,0.91,0.91,0.0,0.045,0.005,0.04,predicted_bll
4FGL J2120.8-2329,unass,AGN,0.91,0.91,0.02,0.035,0.02,0.015,predicted_bcu
4FGL J0730.5+6720,unass,AGN,0.91,0.91,0.04,0.035,0.0,0.015,predicted_fsrq
4FGL J0625.5+7029,unass,AGN,0.91,0.91,0.0,0.06,0.015,0.015,predicted_bll
4FGL J0536.1-1205,unass,AGN,0.91,0.91,0.0,0.06,0.01,0.02,predicted_bll
4FGL J0631.0+5626,unass,AGN,0.91,0.91,0.0,0.06,0.0,0.03,predicted_bll
4FGL J2337.7-2903,unass,AGN,0.91,0.91,0.0,0.06,0.02,0.01,predicted_bll
4FGL J1557.2+3822,unass,AGN,0.91,0.91,0.0,0.05,0.005,0.035,predicted_bll
4FGL J1109.8+4406,unass,AGN,0.91,0.91,0.005,0.01,0.02,0.055,predicted_fsrq
4FGL J0543.5-8741,unass,AGN,0.91,0.91,0.03,0.025,0.02,0.015,predicted_bll
4FGL J1432.1+5020,unass,AGN,0.91,0.91,0.0,0.035,0.02,0.035,predicted_bll
4FGL J2302.4-3545,unass,AGN,0.91,0.91,0.0,0.045,0.0,0.045,predicted_fsrq
4FGL J0615.1-1901,unass,AGN,0.9075,0.9075,0.055,0.03,0.0,0.0075,predicted_bll
4FGL J0300.0-5908,unass,AGN,0.9052,0.9052,0.0,0.01,0.0848,0.0,predicted_bll
4FGL J0800.1-5531,unass,AGN,0.905,0.905,0.005,0.075,0.01,0.005,predicted_bll
4FGL J2030.3-5038,unass,AGN,0.905,0.905,0.0,0.09,0.005,0.0,predicted_bll
4FGL J0435.2-1507,unass,AGN,0.905,0.905,0.05,0.01,0.015,0.02,predicted_bcu
4FGL J2321.9-4842,unass,AGN,0.905,0.905,0.005,0.075,0.01,0.005,predicted_bll
4FGL J1845.8-0236c,unass,Galactic,0.905,0.015,0.04,0.905,0.0,0.04,predicted_galactic
4FGL J1102.1+1318,unass,AGN,0.905,0.905,0.0,0.05,0.02,0.025,predicted_bcu
4FGL J0524.1+6017,unass,AGN,0.905,0.905,0.005,0.07,0.015,0.005,predicted_bll
4FGL J0651.9-4330,unass,AGN,0.905,0.905,0.02,0.05,0.005,0.02,predicted_fsrq
4FGL J0946.7+0548,unass,AGN,0.905,0.905,0.0,0.02,0.025,0.05,predicted_bcu
4FGL J1452.0-4148,unass,AGN,0.905,0.905,0.005,0.07,0.02,0.0,predicted_bll
4FGL J2350.0+2622,unass,AGN,0.905,0.905,0.02,0.05,0.025,0.0,predicted_bll
4FGL J2316.8-2518,unass,AGN,0.905,0.905,0.0,0.04,0.0,0.055,predicted_bcu
4FGL J0531.5-7823,unass,AGN,0.905,0.905,0.02,0.035,0.015,0.025,predicted_fsrq
4FGL J2041.1+4736,unass,Pulsar,0.9048,0.0,0.0203,0.0749,0.0,0.9048,predicted_psr
4FGL J2152.5-0607,unass,AGN,0.9,0.9,0.02,0.04,0.0,0.04,predicted_fsrq
4FGL J2112.5-3043,unass,Pulsar,0.9,0.025,0.025,0.05,0.0,0.9,predicted_msp
4FGL J2058.6+0550,unass,AGN,0.9,0.9,0.005,0.06,0.005,0.03,predicted_bcu
4FGL J0959.1+5719,unass,AGN,0.9,0.9,0.005,0.055,0.025,0.015,predicted_bcu
4FGL J2159.6-4620,unass,AGN,0.9,0.9,0.005,0.095,0.0,0.0,predicted_bll
