Source_Name,Micro_Class,Micro_Conf,Final_Class
4FGL J0351.2-6103,bll,0.7946139554087531,predicted_bll
4FGL J0351.6+2921,fsrq,0.595,remains_bcu
4FGL J0352.0-2516,bll,0.5989351851851852,remains_bcu
4FGL J0354.4+4643,fsrq,0.9848592758129292,predicted_fsrq
4FGL J0355.3+3909,bll,0.9736937148217636,predicted_bll
4FGL J0356.1-1329,bll,0.94,predicted_bll
4FGL J0357.2+2320,bll,0.5051851851851852,remains_bcu
4FGL J0357.2-0319,bll,0.982846153846154,predicted_bll
4FGL J0358.0-6946,bll,0.6628333333333333,remains_bcu
4FGL J0358.5-5432,fsrq,0.75453125,predicted_fsrq
4FGL J0358.6+0634,fsrq,0.8497513440860215,predicted_fsrq
4FGL J0358.7+7649,bll,0.7493006993006993,predicted_bll
4FGL J0359.4-0236,bll,0.929971098265896,predicted_bll
4FGL J0400.7+3920,bll,0.8135714285714286,predicted_bll
4FGL J0401.0-5353,bll,0.994971098265896,predicted_bll
4FGL J0401.3+0412,fsrq,0.655,remains_bcu
4FGL J0401.9-2034,fsrq,0.7644829317269077,predicted_fsrq
4FGL J0402.0+2737,fsrq,0.9049386503067484,predicted_fsrq
4FGL J0402.9+6433,bll,0.8982116875653462,predicted_bll
4FGL J0404.1-1715,bll,0.9270260077816048,predicted_bll
4FGL J0404.3-1559,fsrq,0.51,remains_bcu
4FGL J0409.4+3201,bll,0.96,predicted_bll
4FGL J0410.9+4216,bll,0.6697136580209121,remains_bcu
4FGL J0411.7+3041,fsrq,0.6532329317269077,remains_bcu
4FGL J0412.3+0239,bll,0.74,predicted_bll
4FGL J0412.6-5434,bll,0.9417881059371376,predicted_bll
4FGL J0412.7-3927,bll,0.964971098265896,predicted_bll
4FGL J0415.2-5741,bll,0.84,predicted_bll
4FGL J0416.0-4743,fsrq,0.695,remains_bcu
4FGL J0416.4-2059,bll,0.515,remains_bcu
4FGL J0418.1-0252,fsrq,0.5675833333333333,remains_bcu
4FGL J0418.4+3414,bll,0.57,remains_bcu
4FGL J0420.0+0805,fsrq,0.635,remains_bcu
